GERMPLASM	T0-(Days till plants emerge)	T1-(Days till plants have fully swollen pods R5)	T2-(Days till plants have one open flower R1)	T3-(Plant biomass)	T4-(Pods per penduncle)	T5-(Seed mass per plant)	T6-(Seeds per pod)
Asterix	13	72.67	53.67	21.17	2	6.6	1.97
Cherie	14.33	70	51	12.82	2.33	4.76	1.88
Glamis	11.67	74	56	23.37	3	6.91	1.4
Gold	17	71	54	18.11	2	1.48	1.84
Greenstar	11.67	75.67	56	30.84	2.67	9.92	1.33
Imax	13.67	70	53	19.43	2	5.34	1.88
Impower	11.67	76.67	54.33	27.96	2.33	6.47	1.73
KR-1	12.33	73.67	55.67	46.63	2.33	15.22	1.6
LeMay	14.33	74.33	53.67	27.99	2.33	9.8	1.9
Maxim	13.67	69	50.67	27.54	2	10.06	1.77
QG-1	12.33	79	56	22.1	2	4.32	1.57
Redcoat	12.33	75.33	56	19.05	2.67	6.47	1.8
Red_Rider	13.67	71.67	56	17.76	2	5.6	1.7
Redwing	15	68.67	53.67	10	2	1.92	1.83
Robin	13	70.33	53	24.61	2	7.04	1.97
Rosebud	13.67	71.67	54	26.03	2	11.35	2.03
Rosetown	13.67	74.33	57.67	17.67	2.33	5.08	1.87
Rosie	14.33	76	57.33	23.27	2.33	7.08	1.7
Rouleau	15	75.67	55	19.83	2	3.06	1.93
Royale	13.67	72.33	54	37.81	2	10.57	1.8
Ruby	13	70.33	51	38.18	2	11.56	2
SB-1	12.33	66.33	47	22.78	2	7.02	1.87
Sedley	11	74	54.33	24.24	2	5.56	1.1
Vantage	13	73	51.67	22.63	2	4.87	1.48
